epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,7448.54,1.85208,1.41583,1.11432,0.71982,0.56729,0.66025,0.3474,1.5259,1.03325,1.29166,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8264.38,1.84013,1.3936,1.10984,0.72174,0.55913,0.65797,0.34908,1.51786,1.01675,1.28252,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9075.05,1.83402,1.38396,1.10356,0.72198,0.56401,0.65982,0.34888,1.52259,1.02904,1.28855,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,9898.58,1.82551,1.37983,1.09753,0.72429,0.56644,0.66572,0.34798,1.52265,0.99908,1.28218,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,10716.7,1.83132,1.38613,1.10978,0.7334,0.56685,0.6692,0.35222,1.52605,1.00042,1.28302,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,11547.7,1.81795,1.36514,1.10289,0.72258,0.57042,0.66224,0.35118,1.50726,1.00844,1.27357,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,810.72,1.79816,1.34462,1.09225,0.73378,0.56796,0.66771,0.35399,1.51738,0.99387,1.27476,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1620.82,1.79829,1.33798,1.09147,0.73158,0.57399,0.67074,0.35838,1.49051,0.97119,1.25743,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2428.06,1.7804,1.31616,1.08812,0.73114,0.58181,0.67321,0.35745,1.49993,0.96732,1.26751,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3232.28,1.78678,1.31157,1.08749,0.72443,0.58059,0.67174,0.35922,1.49522,0.96193,1.2624,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4035.49,1.78191,1.30897,1.08076,0.72965,0.58104,0.67604,0.36137,1.48097,0.95965,1.24973,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4843.1,1.78348,1.30603,1.08393,0.74254,0.57746,0.68084,0.36054,1.49432,0.95017,1.25516,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,5630.7,1.76671,1.30717,1.07878,0.73459,0.57482,0.67597,0.35941,1.48161,0.94926,1.24955,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6421.06,1.75651,1.28946,1.06671,0.73805,0.57793,0.68106,0.36323,1.47187,0.94185,1.24115,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7206.12,1.76216,1.28655,1.06905,0.73205,0.58395,0.67898,0.36219,1.47852,0.9465,1.24979,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7999.74,1.75131,1.27017,1.06777,0.73619,0.5854,0.67884,0.36388,1.46559,0.9376,1.23708,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8790.09,1.74424,1.26028,1.06187,0.72772,0.58607,0.67689,0.36371,1.46788,0.93864,1.24023,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,9580.47,1.74022,1.25637,1.05745,0.72874,0.58558,0.67911,0.36234,1.48188,0.94372,1.24364,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,10373.8,1.74306,1.26342,1.06695,0.74245,0.58104,0.67884,0.36385,1.48193,0.93839,1.2451,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,11154.5,1.73923,1.26233,1.06644,0.74017,0.57869,0.67798,0.36381,1.47244,0.93743,1.23756,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1643.14,1.71303,1.22589,1.05285,0.73442,0.58328,0.68111,0.36495,1.47283,0.92609,1.23829,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2475.78,1.71391,1.2323,1.05239,0.73561,0.59066,0.68214,0.36682,1.45641,0.92166,1.22862,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3299.56,1.70119,1.21078,1.05137,0.7369,0.59047,0.68181,0.36664,1.45659,0.91946,1.22687,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4093.41,1.70693,1.21152,1.05054,0.73941,0.5892,0.68253,0.36779,1.45457,0.9156,1.22555,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4893.8,1.70531,1.2102,1.04516,0.74497,0.58574,0.68265,0.36828,1.44726,0.91239,1.22117,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5687.89,1.70268,1.20131,1.0477,0.74542,0.58451,0.68376,0.36727,1.45505,0.90969,1.22488,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6487.66,1.69288,1.20461,1.04417,0.7389,0.58685,0.68423,0.36741,1.45379,0.90291,1.22395,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,7279.65,1.68365,1.19361,1.0347,0.7556,0.57646,0.68487,0.36849,1.44958,0.89604,1.21871,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,8073.4,1.68659,1.18766,1.03392,0.74757,0.58037,0.68508,0.36889,1.4494,0.89478,1.21778,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,8871.54,1.6729,1.17532,1.03247,0.74661,0.58428,0.6857,0.36899,1.45002,0.88992,1.21569,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,9670.6,1.66893,1.16183,1.02837,0.73898,0.59022,0.68582,0.36887,1.44917,0.89347,1.21627,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,10461.1,1.66965,1.16138,1.02747,0.73393,0.59386,0.68567,0.36947,1.45176,0.89649,1.21903,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,11256.2,1.67571,1.17302,1.03597,0.74004,0.59029,0.6847,0.36962,1.45235,0.89167,1.21942,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,12042.2,1.68681,1.19677,1.04325,0.73975,0.5901,0.6855,0.36935,1.45023,0.89306,1.21705,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
